Date,X (km),Y (km),Z (km)
2457061.5,4915.277255397283,160.98299124076925,140.82759381844744
2457062.5,4745.749448520735,1114.3410998636696,454.76000530883744
2457063.5,4358.993942622984,2014.5386480563307,746.9690463375057
2457064.5,3767.8832229342793,2818.3323070050274,1003.3736491651389
2457065.5,2994.394960704597,3484.1859136582684,1210.632391850499
2457066.5,2070.053939435353,3973.7498996530176,1356.637768168099
2457067.5,1036.2907382443266,4253.866285772497,1431.1828772694355
2457068.5,-55.64461896981447,4299.269118246789,1426.8505309552304
2457069.5,-1145.7798610202371,4095.959548552345,1340.1080003887423
2457070.5,-2168.190976743583,3644.856073191631,1172.4635098878666
2457071.5,-3055.8995355816146,2964.805985737725,931.3739422174829
2457072.5,-3747.672772297088,2093.6513459236694,630.4751986904112
2457073.5,-4195.48506661666,1086.1952817380852,288.7752132097527
2457074.5,-4370.624479806382,8.856743417702656,-71.22461970502437
2457075.5,-4266.597754759311,-1067.837507584502,-426.06635671948845
2457076.5,-3898.1944703516338,-2076.8835850833543,-753.8439115081121
2457077.5,-3297.543537347321,-2960.7037072791127,-1036.0852843126456
2457078.5,-2508.79846949553,-3674.48511956112,-1258.7608419749238
2457079.5,-1582.9548763256726,-4187.175538221107,-1412.5177808178896
2457080.5,-573.6465541617113,-4480.914489819797,-1492.4141597140415
2457081.5,465.8862244909809,-4549.712468125847,-1497.4250120241184
2457082.5,1484.851410290791,-4397.946991158212,-1429.9056656436212
2457083.5,2436.3046246525028,-4038.9608417100226,-1295.1011321646743
2457084.5,3278.1830707689223,-3493.836353221919,-1100.7209578211355
2457085.5,3974.1685553689695,-2790.301558847049,-856.5615056701215
2457086.5,4494.473649505526,-1961.6813375682873,-574.1452625026759
2457087.5,4816.56642317787,-1045.8137120845895,-266.3504456257572
2457088.5,4925.80353615283,-83.88478416901171,52.98401190771585
2457089.5,4815.929964003215,880.8249671111728,369.47985796933114
2457090.5,4489.419503007854,1804.2623929807605,668.6601153119541
2457091.5,3957.659424658972,2642.966077311771,936.4006389183278
2457092.5,3241.0065891503073,3355.470311575923,1159.3921273135795
2457093.5,2368.741905982707,3903.788459293587,1325.6262317091418
2457094.5,1378.909848419449,4255.063568693243,1424.934570799658
2457095.5,317.94151166135225,4383.502318142878,1449.6172878892828
2457096.5,-760.1719577932154,4272.68162681126,1395.186783263081
2457097.5,-1795.5331196816533,3918.1916507704273,1261.2084893269825
2457098.5,-2725.2757662973713,3330.318454900458,1052.1334986755367
2457099.5,-3488.1211636292114,2536.095336235253,777.8966548503649
2457100.5,-4030.425512793733,1579.7165353820706,453.9510603690543
2457101.5,-4312.803408318431,520.317212289411,100.42641427680883
2457102.5,-4315.654451787632,-573.2365279445575,-259.678152960938
2457103.5,-4041.806769398613,-1629.7388997525936,-602.970771647754
2457104.5,-3515.370632996606,-2583.3795024058572,-908.1931226943234
2457105.5,-2777.343413956165,-3379.844347478088,-1158.1543982498115
2457106.5,-1879.5858691481544,-3979.6528738035595,-1340.728134536959
2457107.5,-878.9132271076762,-4358.7855544015465,-1448.9591223494572
2457108.5,167.58846314548873,-4507.44762535583,-1480.5773738545004
2457109.5,1205.7083360245833,-4427.9779214165155,-1437.2565775662565
2457110.5,2185.950172785934,-4132.660291524244,-1323.8625756509218
2457111.5,3064.5044464063917,-3641.8340753730313,-1147.8150677913573
2457112.5,3803.7738670533818,-2982.410383175734,-918.5906558829635
2457113.5,4372.758464512521,-2186.7279260927594,-647.3403033634563
2457114.5,4747.475047395421,-1291.604882947852,-346.5710291613223
2457115.5,4911.472051968453,-337.4284250759424,-29.83864961562398
2457116.5,4856.413920651118,632.8536315308183,288.5926658829428
2457117.5,4582.651666861362,1574.9294740719715,594.1524751240925
2457118.5,4099.669746288957,2444.543433348488,872.4376252303741
2457119.5,3426.3029622858635,3199.122582788347,1109.750027334304
2457120.5,2590.6434823133122,3799.5571428096096,1293.6800969838898
2457121.5,1629.5911368523946,4212.071942806289,1413.71454379989
2457122.5,588.0188166561035,4410.139390297046,1461.8518483959733
2457123.5,-482.4888592180914,4376.403940531141,1433.2149736278848
2457124.5,-1525.414988608761,4104.584323790189,1326.648808439481
2457125.5,-2481.763973318987,3601.258841004216,1145.2687012919796
2457126.5,-3293.372611097517,2887.2988070059546,896.8797830394188
2457127.5,-3907.171298057713,1998.5125920969208,594.1214674645784
2457128.5,-4280.201721616054,984.887447441527,254.13835598112678
2457129.5,-4384.720839151885,-92.16013486734562,-102.4058499127068
2457130.5,-4212.239327733892,-1164.7183662165482,-453.0165730386323
2457131.5,-3775.2143479939605,-2164.933650410773,-775.5523261450485
2457132.5,-3105.6310891049015,-3031.845843645635,-1050.4517146956407
2457133.5,-2250.7373279165413,-3716.902923223797,-1262.4801560569508
2457134.5,-1267.1605948099136,-4187.044946485191,-1401.650570897779
2457135.5,-214.9678385151194,-4425.19290886886,-1463.2890133980704
2457136.5,847.1547972738281,-4428.792182763491,-1447.47811612222
2457137.5,1865.1338316164506,-4207.378460853254,-1358.2046028865864
2457138.5,2791.284774733094,-3779.998076150738,-1202.4826452145753
2457139.5,3585.067208416755,-3172.9769436818933,-989.6088019838996
2457140.5,4213.294469414857,-2418.209803239799,-730.5973838460192
2457141.5,4650.177338744619,-1551.9243308182527,-437.7751244599883
2457142.5,4877.444427208123,-613.7618982824674,-124.47906886688068
2457143.5,4884.652207823205,354.0243650461921,195.20991354203292
2457144.5,4669.687080891079,1307.4512423327128,506.763106216486
2457145.5,4239.369813121836,2201.9318726873257,795.5825793150902
2457146.5,3610.0005435802655,2993.753853061595,1047.4953875618664
2457147.5,2807.638961601895,3641.9341417255564,1249.3686342647823
2457148.5,1867.911603530515,4110.380788158419,1389.8192942718115
2457149.5,835.1827175707247,4370.203565540047,1459.9643403833065
2457150.5,-238.9929458149669,4401.959041464916,1454.1392787489585
2457151.5,-1298.1245859048518,4197.604462452873,1370.5108753485417
2457152.5,-2283.664517041928,3761.960805111218,1211.5194533347358
2457153.5,-3138.393533318352,3113.5192646686364,984.0977904895772
2457154.5,-3810.1770322485636,2284.43531010891,699.6170212001281
2457155.5,-4255.91423004978,1319.5324522942851,373.50313577223704
2457156.5,-4445.390597119829,274.1208705764441,24.463514536483785
2457157.5,-4364.560569973786,-789.4982673633863,-326.7128282069626
2457158.5,-4017.6153937664317,-1806.7478009499923,-658.7410657233966
2457159.5,-3427.1855223519115,-2716.235618210604,-951.6470014002559
2457160.5,-2632.324094958491,-3465.1023509902743,-1188.505111968708
2457161.5,-1684.4878558809319,-4013.245634960767,-1356.7773067750372
2457162.5,-642.3238797608113,-4335.659374052322,-1449.0120247616817
2457163.5,433.63718557616687,-4422.69163426872,-1462.854317936155
2457164.5,1485.4302359071778,-4278.613395194924,-1400.5101095575296
2457165.5,2460.7516859218204,-3919.224168740373,-1267.911749448153
2457166.5,3314.6962585931765,-3369.222075167139,-1073.8255710158317
2457167.5,4010.451435840676,-2659.8469805660416,-829.0651456650801
2457168.5,4519.378088802248,-1827.0298626099664,-545.8812439377677
2457169.5,4820.867009588351,-910.0581248572931,-237.52614948924733
2457170.5,4902.25345924734,49.37319441805478,82.05475944619731
2457171.5,4758.949663379044,1007.9244758275443,398.47276193723314
2457172.5,4394.838656011526,1921.4134132962276,697.1620154696187
2457173.5,3822.861966781681,2745.872853110691,963.7334991257156
2457174.5,3065.625450859522,3439.04089090228,1184.4730994094634
2457175.5,2155.7504011083884,3962.3743836563913,1347.0108852728122
2457176.5,1135.6376007192364,4283.540311606389,1441.1426074227413
2457177.5,56.32954026730761,4379.165304824041,1459.726952713769
2457178.5,-1024.7195158924978,4237.458731955335,1399.528878191996
2457179.5,-2046.9351214487565,3860.2374563518742,1261.8529956660525
2457180.5,-2950.6939711869536,3263.9237890735476,1052.8283006340905
2457181.5,-3681.706315877146,2479.258200737578,783.2640498412277
2457182.5,-4195.185866627682,1549.6959973104208,468.0726199307737
2457183.5,-4459.3544562509305,528.6513092614916,125.31858777766098
2457184.5,-4457.9569627597575,-524.1394322717599,-225.01230187057172
2457185.5,-4191.5742643040585,-1546.8234252288694,-562.4191617006416
2457186.5,-3677.5957030371114,-2479.870590349055,-867.3544580916771
2457187.5,-2948.7862278244284,-3270.3578397443825,-1122.6260977778281
2457188.5,-2050.516038098631,-3875.6494151582565,-1314.5852864613423
2457189.5,-1036.9293477818437,-4266.023531446594,-1433.9542162632952
2457190.5,33.446852325136675,-4425.9234063108115,-1476.1923007549678
2457191.5,1102.0247772400958,-4353.76714720514,-1441.3859856333065
2457192.5,2113.829824563755,-4060.548352196769,-1333.7452080113753
2457193.5,3020.166231009692,-3567.67495303723,-1160.8587642873058
2457194.5,3780.2028423878446,-2904.5511865269714,-932.8767924696668
2457195.5,4361.6516265959035,-2106.3157679163014,-661.7555242912877
2457196.5,4740.845185550483,-1211.9774799605295,-360.64104084989316
2457197.5,4902.54122680892,-263.0122580520308,-43.409785675716535
2457198.5,4839.728257039761,697.6524683735138,275.661724113398
2457199.5,4553.617187082144,1626.430290395323,582.154438119878
2457200.5,4053.900913689048,2479.859762374196,861.7637483810278
2457201.5,3359.2524839146263,3215.614702816725,1100.6338266153552
2457202.5,2497.907277846674,3793.963149279371,1285.8420081603294
2457203.5,1508.0374271840394,4179.832619045436,1406.083371820651
2457204.5,437.50360979982815,4345.495288218228,1452.5569270062233
2457205.5,-657.4774833283392,4273.651576978059,1419.9764546985657
2457206.5,-1715.0983758868176,3960.40529974594,1307.5352471574145
2457207.5,-2672.183916129935,3417.404426857074,1119.5837525489374
2457208.5,-3469.427217782667,2672.4238067008837,865.7834679964882
2457209.5,-4056.7747271394755,1767.9735995023302,560.6055861036572
2457210.5,-4397.961446065947,758.0364156376063,222.21616544048734
2457211.5,-4473.433324250204,-296.47767290446643,-129.0509732578506
2457212.5,-4281.3638952462325,-1332.7422538888034,-472.3608575544729
2457213.5,-3836.9238459380795,-2290.756394627417,-787.9410028587312
2457214.5,-3170.2164603456663,-3117.3404841575266,-1058.3874887287902
2457215.5,-2323.3336458210897,-3769.1717018064646,-1269.646256171313
2457216.5,-1346.9138313788928,-4214.81035474464,-1411.6567652643726
2457217.5,-296.50097674097196,-4435.737639907328,-1478.667398401764
2457218.5,771.0364250556387,-4426.453979579594,-1469.2409833609265
2457219.5,1800.7777886902365,-4193.727701340549,-1385.981999235197
2457220.5,2742.4877533740732,-3755.152144948958,-1235.0393581177725
2457221.5,3552.6578252405634,-3137.2427564009413,-1025.4624601785636
2457222.5,4195.8015038183685,-2373.346825084247,-768.5010624842674
2457223.5,4645.075363991844,-1501.6227229656138,-476.9334536937424
2457224.5,4882.397290658984,-563.2753304294633,-164.48355975009503
2457225.5,4898.282695071141,398.8666728824862,154.64613445353274
2457226.5,4691.61692141661,1341.449928303251,466.13333454073233
2457227.5,4269.538345485565,2221.4783777313564,755.8227354647252
2457228.5,3647.5347110280436,2997.1503532789984,1009.9985839653198
2457229.5,2849.7604163696,3628.8657370980586,1215.7143294046377
2457230.5,1909.4616159356676,4080.632340132368,1361.254797295786
2457231.5,869.2461103541559,4322.066398367941,1436.7943493396676
2457232.5,-219.22790313121232,4331.062456207292,1435.2743029896105
2457233.5,-1296.6858282796022,4096.96481973586,1353.4421223694596
2457234.5,-2299.288003160502,3623.712867509559,1192.876200570561
2457235.5,-3163.4570196412724,2932.071287655175,960.7020651423711
2457236.5,-3832.0042168194304,2059.9330726531884,669.6676364668326
2457237.5,-4260.38136247919,1060.0315393641426,337.3630022498585
2457238.5,-4421.557336254864,-4.803029093230472,-15.364540405772683
2457239.5,-4308.365144146431,-1067.846617960591,-366.46680859216025
2457240.5,-3933.0297747308814,-2064.735083082913,-694.7558116661598
2457241.5,-3324.4554084539122,-2938.5852657332325,-981.5813708491593
2457242.5,-2524.279701741989,-3643.4200996146074,-1211.943418734304
2457243.5,-1582.6314514865735,-4145.93361945841,-1375.0548700655565
2457244.5,-554.187436675348,-4425.9620197519625,-1464.4786792834443
2457245.5,505.223282708536,-4476.08237791917,-1477.9795983752074
2457246.5,1541.4383811739215,-4300.66402994583,-1417.198290905554
2457247.5,2504.2570280350096,-3914.571927128161,-1287.2135357713257
2457248.5,3349.259842777619,-3341.6349171371285,-1096.0296295375263
2457249.5,4039.1756514944836,-2612.9597500669315,-854.0154919660642
2457250.5,4544.804128579148,-1765.1763890560185,-573.3235359455393
2457251.5,4845.520180817039,-838.7134793139071,-267.3206552623204
