Type,Lat,Long,Depth,Phi,Delta-a,Delta-b,Depth_err,Date,Seconds,Time_err,12P,12P_EC,14P,14P_EC,15P,15P_EC,16P,16P_EC,12S,12S_EC,14S,14S_EC,15S,15S_EC,16S,16S_EC
A18,18.6,34.7,882,-67,1.8,0.9,24,7301052250,30.86,1.5,229.2,2,216.2,0,188.5,2,188.5,1,373.2,1,357.5,0,276.5,1,279.6,2
A20,21.7,-41,1055,-1,2.4,0.8,13,7205151718,7.15,1.2,,,179.9,2,174.3,0,204.5,0,279.2,0,284.1,1,,,357.3,1
A24,-36.8,-38.9,980,57,2.1,1.7,32,7706121817,38.54,0.3,196.7,1,198,1,,,,2,315.8,2,319.7,0,417.8,2,368,1
A25,34.4,59.3,898,87,2,1.7,26,7706092015,7.55,1.8,241.3,2,242.1,1,179.2,0,200.7,,,,409.3,1,312.7,1,345.6,2
A27,22.5,18.5,1059,-24,1.9,1.4,14,7705160001,51.54,1.3,,,236.1,2,193.4,0,205.9,2,366,2,352.3,1,299.9,0,338.9,2
A30,11.8,-34.3,921,-37,1.5,1,23,7205170042,45.93,0.5,,,181,0,201.7,1,,1,273.3,1,283.4,1,321.4,1,365.2,1
A33,6.9,117.8,887,-9,1.5,1.3,30,7210111935,46.79,1.1,369.9,2,349.1,0,318,0,311.8,,,,,,528.1,1,511.5,1
A34,7,-9.3,932,-32,1.2,0.6,26,7206141834,27.24,2.6,154.9,1,158.1,1,164.4,1,,1,249.8,1,256.5,1,265.2,0,279.3,1
A40,-1.6,-10.9,886,-80,1.2,0.7,23,7306272348,35.37,0.6,,,,,185,2,173.1,0,247.9,0,242.6,1,286.7,1,277.8,1
A41,13.9,-26.8,953,-28,5.6,2.2,84,7206081616,24.7,3.5,,,163.4,2,172.4,2,,2,247.3,2,270.1,2,284.1,1,325.6,2
A42,22.7,-53.5,1004,-53,1.8,1.4,24,7305030152,35.84,2.2,195.8,1,205.6,0,229.9,2,245.6,1,318.9,1,331.9,1,352.5,1,418,1
A44,51.9,57.1,956,-74,5.8,1.9,20,7405190309,4.66,1.3,,,235.4,1,177.6,1,,2,434.9,2,411.4,0,307.4,1,376.2,2
A50,9.4,-51.6,835,-13,2.4,1.5,30,7304300105,26.01,3.7,174.2,2,174.2,1,,,,2,292,2,285,1,348.1,1,397.8,1
A51,8.8,15.7,888,-28,1.1,0.5,22,7402180835,27.4,1.2,,,181.2,2,149,2,,2,320.7,2,291.1,0,254.1,0,248.8,1
A97,-3.4,18.7,1000,-3,2.8,2.3,25,7705190608,21.53,2.1,,,180.6,1,173.8,1,156,2,310.3,2,295.2,2,301.1,2,251.8,1
