Type,Name,JDate,Lat,Lon,Magnitude,Origin,Depth,Duration
DM,7,2440615.511805556,25.0,53.2,0,levent.1008weber,893.0,33.0
DM,6,2440618.658333333,43.5,55.5,0,levent.1008weber,844.0,37.0
DM,1,2440620.1041666665,-15.7,-36.6,0,levent.1008weber,867.0,40.0
DM,7,2440620.138888889,25.0,53.2,0,levent.1008weber,893.0,50.0
DM,1,2440622.361111111,-15.7,-36.6,0,levent.1008weber,867.0,55.0
DM,6,2440622.6819444443,43.5,55.5,0,levent.1008weber,844.0,38.0
DM,3,2440623.8375,-2.9,-50.3,0,levent.1008weber,946.0,39.0
DM,1,2440624.564583333,-15.7,-36.6,0,levent.1008weber,867.0,47.0
DM,5,2440624.6430555554,1.1,-44.7,0,levent.1008weber,933.0,54.0
DM,10,2440635.520138889,-35.7,-40.3,0,levent.1008weber,988.0,41.0
DM,9,2440636.6652777777,-6.0,-19.7,0,levent.1008weber,1037.0,42.0
DM,8,2440638.175,-23.7,-35.5,0,levent.1008weber,1086.0,48.0
DM,7,2440644.1881944444,25.0,53.2,0,levent.1008weber,893.0,59.0
DM,1,2440647.577777778,-15.7,-36.6,0,levent.1008weber,867.0,58.0
DM,6,2440647.697222222,43.5,55.5,0,levent.1008weber,844.0,66.0
DM,7,2440648.8541666665,25.0,53.2,0,levent.1008weber,893.0,50.0
DM,1,2440649.6819444443,-15.7,-36.6,0,levent.1008weber,867.0,68.0
DM,1,2440651.4895833335,-15.7,-36.6,0,levent.1008weber,867.0,55.0
DM,5,2440652.398611111,1.1,-44.7,0,levent.1008weber,933.0,36.0
DM,1,2440653.454861111,-15.7,-36.6,0,levent.1008weber,867.0,35.0
DM,9,2440663.8743055556,-6.0,-19.7,0,levent.1008weber,1037.0,41.0
DM,8,2440665.747916667,-23.7,-35.5,0,levent.1008weber,1086.0,53.0
DM,7,2440675.940972222,25.0,53.2,0,levent.1008weber,893.0,50.0
DM,6,2440676.035416667,43.5,55.5,0,levent.1008weber,844.0,64.0
DM,1,2440676.236111111,-15.7,-36.6,0,levent.1008weber,867.0,75.0
DM,5,2440677.757638889,1.1,-44.7,0,levent.1008weber,933.0,39.0
DM,1,2440677.9111111113,-15.7,-36.6,0,levent.1008weber,867.0,43.0
DM,64,2440679.2104166667,30.1,53.2,0,levent.1008weber,975.0,32.0
DM,1,2440679.9506944446,-15.7,-36.6,0,levent.1008weber,867.0,76.0
DM,9,2440690.9458333333,-6.0,-19.7,0,levent.1008weber,1037.0,68.0
DM,7,2440702.8291666666,25.0,53.2,0,levent.1008weber,893.0,0
DM,1,2440703.103472222,-15.7,-36.6,0,levent.1008weber,867.0,0
DM,6,2440703.1333333333,43.5,55.5,0,levent.1008weber,844.0,44.0
DM,14,2440704.601388889,-29.6,-44.4,0,levent.1008weber,933.0,24.0
DM,1,2440704.95,-15.7,-36.6,0,levent.1008weber,867.0,27.0
DM,1,2440706.6201388887,-15.7,-36.6,0,levent.1008weber,867.0,37.0
DM,9,2440717.7958333334,-6.0,-19.7,0,levent.1008weber,1037.0,17.0
DM,8,2440720.665972222,-23.7,-35.5,0,levent.1008weber,1086.0,31.0
DM,13,2440721.9909722223,-19.1,-41.7,0,levent.1008weber,973.0,23.0
DM,1,2440730.047222222,-15.7,-36.6,0,levent.1008weber,867.0,67.0
DM,6,2440730.690972222,43.5,55.5,0,levent.1008weber,844.0,40.0
DM,1,2440732.0083333333,-15.7,-36.6,0,levent.1008weber,867.0,28.0
DM,9,2440745.015972222,-6.0,-19.7,0,levent.1008weber,1037.0,22.0
DM,10,2440748.4402777776,-35.7,-40.3,0,levent.1008weber,988.0,21.0
DM,13,2440749.954861111,-19.1,-41.7,0,levent.1008weber,973.0,30.0
DM,14,2440756.783333333,-29.6,-44.4,0,levent.1008weber,933.0,22.0
DM,7,2440757.39375,25.0,53.2,0,levent.1008weber,893.0,33.0
DM,1,2440757.5208333335,-15.7,-36.6,0,levent.1008weber,867.0,70.0
DM,6,2440759.177777778,43.5,55.5,0,levent.1008weber,844.0,29.0
DM,5,2440759.4736111113,1.1,-44.7,0,levent.1008weber,933.0,28.0
DM,3,2440759.629166667,-2.9,-50.3,0,levent.1008weber,946.0,19.0
DM,1,2440759.998611111,-15.7,-36.6,0,levent.1008weber,867.0,27.0
DM,1,2440761.527777778,-15.7,-36.6,0,levent.1008weber,867.0,25.0
DM,9,2440772.175,-6.0,-19.7,0,levent.1008weber,1037.0,20.0
DM,8,2440774.1375,-23.7,-35.5,0,levent.1008weber,1086.0,27.0
DM,13,2440776.25625,-19.1,-41.7,0,levent.1008weber,973.0,21.0
DM,65,2440779.7444444443,46.6,42.3,0,levent.1008weber,861.0,28.0
DM,7,2440781.159722222,25.0,53.2,0,levent.1008weber,893.0,40.0
DM,6,2440783.0875,43.5,55.5,0,levent.1008weber,844.0,29.0
DM,1,2440783.658333333,-15.7,-36.6,0,levent.1008weber,867.0,32.0
DM,14,2440784.565972222,-29.6,-44.4,0,levent.1008weber,933.0,25.0
DM,7,2440784.7097222223,25.0,53.2,0,levent.1008weber,893.0,33.0
DM,1,2440785.5229166667,-15.7,-36.6,0,levent.1008weber,867.0,37.0
DM,6,2440787.154166667,43.5,55.5,0,levent.1008weber,844.0,33.0
DM,5,2440787.970138889,1.1,-44.7,0,levent.1008weber,933.0,0
DM,1,2440787.988888889,-15.7,-36.6,0,levent.1008weber,867.0,56.0
DM,1,2440790.732638889,-15.7,-36.6,0,levent.1008weber,867.0,37.0
DM,9,2440799.50625,-6.0,-19.7,0,levent.1008weber,1037.0,16.0
DM,7,2440809.686111111,25.0,53.2,0,levent.1008weber,893.0,32.0
DM,7,2440812.6645833333,25.0,53.2,0,levent.1008weber,893.0,33.0
DM,1,2440813.2680555554,-15.7,-36.6,0,levent.1008weber,867.0,59.0
DM,6,2440815.15625,43.5,55.5,0,levent.1008weber,844.0,20.0
DM,1,2440815.7895833333,-15.7,-36.6,0,levent.1008weber,867.0,38.0
DM,5,2440816.029861111,1.1,-44.7,0,levent.1008weber,933.0,0
DM,3,2440816.234027778,-2.9,-50.3,0,levent.1008weber,946.0,98.0
DM,1,2440819.0541666667,-15.7,-36.6,0,levent.1008weber,867.0,27.0
DM,10,2440826.3527777777,-35.7,-40.3,0,levent.1008weber,988.0,42.0
DM,9,2440826.8333333335,-6.0,-19.7,0,levent.1008weber,1037.0,30.0
DM,8,2440830.140972222,-23.7,-35.5,0,levent.1008weber,1086.0,32.0
DM,7,2440837.95,25.0,53.2,0,levent.1008weber,893.0,24.0
DM,1,2440839.0069444445,-15.7,-36.6,0,levent.1008weber,867.0,35.0
DM,65,2440839.507638889,46.6,42.3,0,levent.1008weber,861.0,24.0
DM,1,2440840.842361111,-15.7,-36.6,0,levent.1008weber,867.0,42.0
DM,1,2440843.4604166667,-15.7,-36.6,0,levent.1008weber,867.0,37.0
DM,1,2440844.0395833333,-15.7,-36.6,0,levent.1008weber,867.0,28.0
DM,3,2440844.832638889,-2.9,-50.3,0,levent.1008weber,946.0,21.0
DM,5,2440847.1944444445,1.1,-44.7,0,levent.1008weber,933.0,30.0
DM,10,2440853.695138889,-35.7,-40.3,0,levent.1008weber,988.0,34.0
DM,9,2440854.222222222,-6.0,-19.7,0,levent.1008weber,1037.0,30.0
DM,8,2440858.388888889,-23.7,-35.5,0,levent.1008weber,1086.0,35.0
DM,7,2440866.1354166665,25.0,53.2,0,levent.1008weber,893.0,40.0
DM,1,2440866.7409722223,-15.7,-36.6,0,levent.1008weber,867.0,58.0
DM,64,2440868.470833333,30.1,53.2,0,levent.1008weber,975.0,27.0
DM,14,2440868.95,-29.6,-44.4,0,levent.1008weber,933.0,24.0
DM,1,2440870.9,-15.7,-36.6,0,levent.1008weber,867.0,44.0
DM,9,2440880.8583333334,-6.0,-19.7,0,levent.1008weber,1037.0,22.0
DM,8,2440885.715277778,-23.7,-35.5,0,levent.1008weber,1086.0,35.0
DM,7,2440893.8583333334,25.0,53.2,0,levent.1008weber,893.0,34.0
DM,1,2440894.2180555556,-15.7,-36.6,0,levent.1008weber,867.0,46.0
DM,6,2440894.482638889,43.5,55.5,0,levent.1008weber,844.0,23.0
DM,14,2440896.5930555556,-29.6,-44.4,0,levent.1008weber,933.0,31.0
DM,7,2440918.7506944444,25.0,53.2,0,levent.1008weber,893.0,29.0
DM,1,2440920.6069444446,-15.7,-36.6,0,levent.1008weber,867.0,41.0
DM,6,2440921.445138889,43.5,55.5,0,levent.1008weber,844.0,29.0
DM,1,2440922.672222222,-15.7,-36.6,0,levent.1008weber,867.0,37.0
DM,14,2440923.211111111,-29.6,-44.4,0,levent.1008weber,933.0,24.0
DM,1,2440924.1930555557,-15.7,-36.6,0,levent.1008weber,867.0,27.0
DM,1,2440948.3569444446,-15.7,-36.6,0,levent.1008weber,867.0,56.0
DM,7,2440948.4319444443,25.0,53.2,0,levent.1008weber,893.0,23.0
DM,6,2440949.3527777777,43.5,55.5,0,levent.1008weber,844.0,37.0
DM,1,2440950.1027777777,-15.7,-36.6,0,levent.1008weber,867.0,25.0
DM,5,2440950.1611111113,1.1,-44.7,0,levent.1008weber,933.0,23.0
DM,64,2440951.7041666666,30.1,53.2,0,levent.1008weber,975.0,26.0
DM,1,2440952.1534722224,-15.7,-36.6,0,levent.1008weber,867.0,49.0
DM,9,2440962.490277778,-6.0,-19.7,0,levent.1008weber,1037.0,24.0
DM,22,2440975.5694444445,21.6,43.6,0,levent.1008weber,788.0,30.0
DM,6,2440975.936111111,43.5,55.5,0,levent.1008weber,844.0,24.0
DM,1,2440980.1243055556,-15.7,-36.6,0,levent.1008weber,867.0,46.0
DM,25,2440990.277777778,35.1,59.8,0,levent.1008weber,924.0,35.0
DM,8,2440992.5756944446,-23.7,-35.5,0,levent.1008weber,1086.0,31.0
DM,18,2441002.50625,23.3,32.7,0,levent.1008weber,925.0,28.0
DM,26,2441002.550694444,14.3,5.2,0,levent.1008weber,1122.0,17.0
DM,22,2441002.9618055555,21.6,43.6,0,levent.1008weber,788.0,27.0
DM,1,2441003.1298611113,-15.7,-36.6,0,levent.1008weber,867.0,30.0
DM,6,2441003.975,43.5,55.5,0,levent.1008weber,844.0,21.0
DM,7,2441004.4118055557,25.0,53.2,0,levent.1008weber,893.0,23.0
DM,1,2441005.159722222,-15.7,-36.6,0,levent.1008weber,867.0,50.0
DM,6,2441006.795138889,43.5,55.5,0,levent.1008weber,844.0,28.0
DM,1,2441008.011805556,-15.7,-36.6,0,levent.1008weber,867.0,26.0
DM,3,2441009.7979166666,-2.9,-50.3,0,levent.1008weber,946.0,29.0
DM,5,2441011.563888889,1.1,-44.7,0,levent.1008weber,933.0,35.0
DM,25,2441017.4347222224,35.1,59.8,0,levent.1008weber,924.0,39.0
DM,8,2441021.2354166666,-23.7,-35.5,0,levent.1008weber,1086.0,41.0
DM,16,2441022.3916666666,7.5,6.3,0,levent.1008weber,1019.0,34.0
DM,18,2441030.359722222,23.3,32.7,0,levent.1008weber,925.0,32.0
DM,22,2441031.1319444445,21.6,43.6,0,levent.1008weber,788.0,25.0
DM,7,2441032.038888889,25.0,53.2,0,levent.1008weber,893.0,16.0
DM,1,2441032.186111111,-15.7,-36.6,0,levent.1008weber,867.0,37.0
DM,19,2441033.44375,27.7,34.4,0,levent.1008weber,974.0,26.0
DM,6,2441033.554861111,43.5,55.5,0,levent.1008weber,844.0,21.0
DM,1,2441034.384722222,-15.7,-36.6,0,levent.1008weber,867.0,41.0
DM,1,2441036.51875,-15.7,-36.6,0,levent.1008weber,867.0,38.0
DM,5,2441040.19375,1.1,-44.7,0,levent.1008weber,933.0,26.0
DM,10,2441042.765277778,-35.7,-40.3,0,levent.1008weber,988.0,23.0
DM,9,2441044.339583333,-6.0,-19.7,0,levent.1008weber,1037.0,33.0
DM,25,2441044.9444444445,35.1,59.8,0,levent.1008weber,924.0,30.0
DM,10,2441045.440972222,-35.7,-40.3,0,levent.1008weber,988.0,20.0
DM,8,2441045.757638889,-23.7,-35.5,0,levent.1008weber,1086.0,22.0
DM,9,2441046.0569444443,-6.0,-19.7,0,levent.1008weber,1037.0,23.0
DM,16,2441046.907638889,7.5,6.3,0,levent.1008weber,1019.0,23.0
DM,8,2441049.8777777776,-23.7,-35.5,0,levent.1008weber,1086.0,36.0
DM,26,2441057.138888889,14.3,5.2,0,levent.1008weber,1122.0,60.0
DM,18,2441058.2805555556,23.3,32.7,0,levent.1008weber,925.0,56.0
DM,22,2441058.7444444443,21.6,43.6,0,levent.1008weber,788.0,0
DM,1,2441058.7590277777,-15.7,-36.6,0,levent.1008weber,867.0,0
DM,7,2441059.861111111,25.0,53.2,0,levent.1008weber,893.0,30.0
DM,14,2441061.785416667,-29.6,-44.4,0,levent.1008weber,933.0,0
DM,1,2441061.8076388887,-15.7,-36.6,0,levent.1008weber,867.0,32.0
DM,19,2441062.01875,27.7,34.4,0,levent.1008weber,974.0,28.0
DM,9,2441071.861111111,-6.0,-19.7,0,levent.1008weber,1037.0,30.0
DM,10,2441071.896527778,-35.7,-40.3,0,levent.1008weber,988.0,24.0
DM,25,2441072.423611111,35.1,59.8,0,levent.1008weber,924.0,30.0
